OLOT;ESCOLA “EL MORROT”;AV MORROT, DEL NUM: 25 - OLOT (17800)
OLOT;ESCOLA MUNICIPAL DE MUSICA;AV ANSELM CLAVÉ, D’ NUM: 7 - OLOT (17800)
OLOT;ESCOLA PLA DE DALT;C ALFORJA, DE L’ NUM: 2 - OLOT (17800)
OLOT;ESCOLA SANT PERE MARTIR;C GERANIS, DELS NUM: 50 - OLOT (17800)
OLOT;ESCOLA SANT ROC;C CÒRDOVA, DE NUM: 1 - OLOT (17800)
OLOT;I.E.S. GARROTXA;CTRA RIUDAURA, DE NUM: 110 - OLOT (17800)
OLOT;I.M.P.C.;C BISBE LORENZANA, DEL NUM: 15 - OLOT (17800)
OLOT;LOCAL A.V. BONAVISTA;C VIOLA, DE LA NUM: 24 - SANT CRISTOFOL LES FONTS - OLOT (17800)
OLOT;LOCAL A.V. SANT ROC;PLAÇA VISTA ALEGRE, DE NUM: 9 - OLOT (17800)
OLOT;MAS LES MATES;C MESTRE FALLA, DEL NUM: 47 - OLOT (17800)
OLOT;PAVELLÓ D’ESPORTS;AV REPÚBLICA ARGENTINA, DE LA NUM: 12 - SANT CRISTOFOL LES FONTS - OLOT (17800)
OLOT;PAVELLÓ D’ESPORTS;AV REPÚBLICA ARGENTINA, DE LA NUM: 12 - ST CRISTOFOL LES FONTS - OLOT (17800)
OLOT;TEATRE PRINCIPAL;PG BLAY, DE NUM: 5 - OLOT (17800)
OLOT;TORRE MALAGRIDA;PG BARCELONA, DE NUM: 15 - OLOT (17800)
ORDIS;AJUNTAMENT D’ORDIS (BAIXOS);PLAÇA ESGLESIA S/N - ORDIS (17772)
OSOR;ESCOLA PUBLICA;CARRE FRANÇA S/N - OSOR (17161)
PALAFRUGELL;COL·LEGI PI VERD (PLANTA BAIXA);C VICENÇ ROURE I ARMADA NUM: 18 - PALAFRUGELL (17200)
PALAFRUGELL;COL.LEGI PRATS DE LA CARRERA;C ANSELM CLAVE NUM: 31 - PALAFRUGELL (17200)
PALAFRUGELL;GRUP ESCOLAR BARCELO MATAS;C PALS NUM: 75 - PALAFRUGELL (17200)
PALAFRUGELL;GRUP ESCOLAR TORRES JONAMA;C ESCOLES NUM: 10 - PALAFRUGELL (17200)
PALAFRUGELL;INSTITUT NACIONAL DE BATXILLERAT C3;C FREDERIC MARTI CARRERAS NUM: 13 - PALAFRUGELL (17200)
PALAFRUGELL;LLAR D’INFANTS “ELS BELLUGUETS”;AVDA GENERALITAT NUM: 9 - PALAFRUGELL (17200)
PALAFRUGELL;LOCAL ASS. AMICS I VEÏNS DE LLOFRIU;C IRENE ROCAS NUM: 1 - POBLE - LLOFRIU - PALAFRUGELL (17124)
PALAFRUGELL;LOCAL DE L’ASSOCIACIO DE VEINS;C GELPI NUM: 3 - CALELLA - PALAFRUGELL (17210)
PALAFRUGELL;MUSEU DEL SURO DE PALAFRUGELL;PLAÇA PLACETA DEL MUSEU S/N - PALAFRUGELL (17200)
PALAFRUGELL;TEATRE MUNICIPAL DE PALAFRUGELL (VESTÍBUL);C SANTA MARGARIDA NUM: 1 - PALAFRUGELL (17200)
PALAMÓS;AULA D’APRENENTATGE;CARRE RIERA NUM: 31 - SANT JOAN DE PALAMÓS - PALAMÓS (17230)
PALAMÓS;EDIFICI DEL CLUB NAUTIC COSTA BRAVA;CARRE CLUB NAUTIC S/N - PALAMÓS (17230)
PALAMÓS;ESCOLA LA VILA;CARRE FOMENT NUM: 20 - PALAMÓS (17230)
PALAMÓS;SALA POLIVALENT ES PLA;CARRE GASPAR MATAS NUM: 50 - SANT JOAN DE PALAMÓS - PALAMÓS (17230)
PALAMÓS;SALA POLIVALENT “NAU DELS 50 METRES”;CARRE LONDRES NUM: 24 - PALAMÓS (17230)
PALAMÓS;SALA POLIVALENT;PL. MOSSEN GUMERSIND S/N - SANT JOAN DE PALAMÓS - PALAMÓS (17230)
PALAU DE SANTA EULÀLIA;AJUNTAMENT DE PALAU DE SANTA EULÀLIA (SALA D’ACTES) C/ GA;GARRIGÀS NUM: 4 - SANTA EULÀLIA - PALAU DE SANTA EULÀLIA (17476)
PALAU-SATOR;AJUNTAMENT DE PALAU-SATOR (NOU EDIFICI);PLAÇA AJUNTAMENT S/N - PALAU-SATOR (17256)
PALAU-SAVERDERA;HOTEL D’ENTITATS (PLANTA BAIXA);CARRE NOU NUM: 49 - PALAU-SAVERDERA (17495)
PALOL DE REVARDIT;LOCAL SOCIAL DE L’AJUNTAMENT (BAIXOS);VENAT PALOL DE REVARDIT NUM: 3 - PALOL DE REVARDIT (17843)
PALS;CENTRE CÍVIC;CARRE ENRIC FORT NUM: 26 - PALS (17256)
PARDINES;AJUNTAMENT DE PARDINES (BAIXOS);PLAÇA PADRO NUM: 7 - PARDINES (17534)
PARLAVÀ;LOCAL SOCIAL;CARRE SALVETAT NUM: 3 - PARLAVÀ (17133)
PAU;ESCOLES DE PAU;CARRE MIGJORN NUM: 2 - PAU (17494)
PEDRET I MARZÀ;CENTRE CIVIC;CARRE MAR NUM: 13 - MARZA - PEDRET I MARZÀ (17493)
PERALADA;CAN SALA (SALA D’ACTES);PLAÇA MAJOR NUM: 2 - VILANOVA DE LA MUGA - PERALADA (17492)
PERALADA;CENTRE SOCIOSANITARI;CARRE CAMI DE LA GARRIGA NUM: 1 - PERALADA (17491)
PERA (LA);ESCOLA PÚBLICA “PEDRA BLANCA”;AV SANT FRANCESC D’ASIS NUM: 15 - PERA (LA) (17120)
PLANES D’HOSTOLES (LES);ESCOLA PUBLICA SANT CRISTOFOL;AV NARCÍS ARNAU NUM: 58 - PLANES D’HOSTOLES (LES) (17172)
PLANOLES;AJUNTAMENT DE PLANOLES (BAIXOS);PLAÇA AJUNTAMENT NUM: 1 - PLANOLES (17535)
PONT DE MOLINS;DISPENSARI MUNICIPAL;PLAÇA DR. JORDI CUFFÍ CASELLAS NUM: 1 - PONT DE MOLINS (17706)
PONTÓS;COL.LEGI PUBLIC;CARRE CREU NUM: 18 - PONTÓS (17773)
PORQUERES;CENTRE CIVIC LES PEDRERES;CARRE MERCE RODOREDA NUM: 5 - LES PEDRERES - PORQUERES (17846)
PORQUERES;ESCOLA EL FRIGOLET;PRAGE PORQUERES NUM: 30 - PORQUERES (17834)
PORQUERES;ESCOLA L’ENTORN;CARRE MONTSENY NUM: 15 - MATA - PORQUERES (17846)
PORTBOU;SALA WALTER BENJAMIN;AV BARCELONA NUM: 7 - PORTBOU (17497)
PORT DE LA SELVA (EL);CENTRE CÍVIC MOLL D’EN BALLEU (SALA DEL BALL);C/ MOLL D’EN BALLEU NUM: 2 - PORT DE LA SELVA (EL) (17489)
PRESES (LES);EDIFICI ESCOLES;C/ SANT SEBASTIÀ NUM: 41 - PRESES (LES) (17178)
PRESES (LES);LOCAL SOCIAL BOSC DE TOSCA;AV ZONA ESPORTIVA (DE LA) NUM: 13 - BOSC DE TOSCA - PRESES (LES) (17178)
PUIGCERDÀ;ESCOLES NOVES DE L’ESTANY (BAIXOS);AV SCHIERBECK NUM: 1 - PUIGCERDÀ (17520)
QUART;LOCAL SOCIAL DE PALOL D’ONYAR;C/ DOLMEN (DEL) NUM: 17 - PALOL D’ONYAR - QUART (17241)
QUART;LOCAL SOCIAL DE QUART;C/ TREN NUM: 49 - QUART (17242)
QUERALBS;ESCOLA;PLAÇA VILA NUM: 3 - QUERALBS (17534)
RABÓS;TELE CLUB;CARRE PLAÇA NUM: 2 - RABÓS (17754)
REGENCÓS;CASA DE LA VILA (LOCAL SOCIAL);CARRE TORRES JONAMA NUM: 2 - REGENCÓS (17214)
RIBES DE FRESER;ESCOLA PUBLICA VERGE DE NURIA;PG ÀNGEL GUIMERÀ NUM: 1 - RIBES DE FRESER (17534)
RIELLS I VIABREA;AJUNTAMENT DE RIELLS I VIABREA (BAIXOS);AV SALVÀ NUM: 1 - CAN SALVA - RIELLS I VIABREA (17404)
RIELLS I VIABREA;L’ESCOLETA DE RIELLS;AV MORENETA S/N - BOSC DE LA BATLLORIA - RIELLS I VIABREA (17404)
RIPOLL;BIBLIOTECA “LAMBERT MATA”;C/ VINYES NUM: 1 - RIPOLL (17500)
RIPOLL;ESCOLA PUBLICA JOAN MARAGALL;CTRA BARCELONA NUM: 8 - RIPOLL (17500)
RIPOLL;ESCOLA VEDRUNA;C/ BERENGUER EL VELL NUM: 10 - RIPOLL (17500)
RIPOLL;RESIDÈNCIA D’AVIS “PLA DE SANT PERE”;AV COMTE GUIFRE NUM: 27 - RIPOLL (17500)
RIPOLL;SALA EUDALD GRAELLS;PG SANT JOAN NUM: 1 - RIPOLL (17500)
RIUDARENES;CENTRE CÍVIC CAN FORNACA;AV ARGIMON NUM: 2 - CAN FORNACA - RIUDARENES (17421)
RIUDARENES;CENTRE CULTURAL POLIVALENT;C/ SANT MARTI NUM: 43 - RIUDARENES (17421)
RIUDAURA;ESCOLA LLUIS CASTELLS DE RIUDAURA;CARRE ESCOLA NUM: 1 - RIUDAURA (17179)
RIUDELLOTS DE LA SELVA;NOU EDIFICI DE L’AJUNTAMENT (BAIXOS);PLAÇA AJUNTAMENT (DE L’) NUM: 1 - RIUDELLOTS DE LA SELVA (17457)
RIUMORS;LOCAL DE JOVES;C/ PLAÇA VELLA NUM: 6 - RIUMORS (17469)
ROSES;CASA CAMBÓ;PLAÇA CATALUNYA (DE) NUM: 13 - ROSES (17480)
ROSES;CASAL DEL PESCADOR (SALA PRIMER PIS);C RIERA GINJOLERS (DE LA) NUM: 22 - ROSES (17480)
ROSES;CEIP ELS GRECS;C BERNAT DESCLOT (DE) NUM: 12 - SUREDES D’EN MAIRO-GRECS-MUNTANYETA - ROSES (17480)
ROSES;CEIP NARCIS MONTURIOL;AV RHODE (DE) NUM: 239 - ROSES (17480)
ROSES;I.E.S. CAP NORFEU;C PONENT (DE) NUM: 40 - ROSES (17480)
ROSES;TEATRE MUNICIPAL DE ROSES;C TARRAGONA (DE) NUM: 71 - ROSES (17480)
RUPIÀ;CONSULTORI LOCAL;PLAÇA AVALL NUM: 2 - RUPIÀ (17131)
SALES DE LLIERCA;AJUNTAMENT DE SALES DE LLIERCA;PLAÇA ESGLESIA (DE L’) S/N - SALES DE LLIERCA (17853)
SALT;AJUNTAMENT DE SALT-RECAPTACIO;C/ MAJOR NUM: 163 - SALT (17190)
SALT;AJUNTAMENT DE SALT-SALÓ DE PLENS;C/ MANUEL DE FALLA S/N - SALT (17190)
SALT;CENTRE SOCIAL MAS MOTA;PLAÇA CATALUNYA NUM: 8 - SALT (17190)
SALT;ESCOLA DEL PLA;PG MARQUES DE CAMPS NUM: 50 - SALT (17190)
SALT;ESCOLA DE VEINAT-GERTRUDIS MORET;C/ ENRIC GRANADOS NUM: 8 - SALT (17190)
SALT;ESCOLA LA FARGA;C/ SANT DIONIS NUM: 40 - SALT (17190)
SALT;ESCOLA SILVESTRE SANTALO;PG JOSEP MARIA FOLCH I TORRES NUM: 10 - SALT (17190)
SALT;MAS LLORENS;C/ LLUIS MORENO NUM: 8 - SALT (17190)
SANTA COLOMA DE FARNERS;COL.LEGI PUBLIC SANT SALVADOR D’HORTA;PG SANT SALVADOR NUM: 12 - SANTA COLOMA DE FARNERS (17430)
SANTA CRISTINA D’ARO;CEIP PEDRALTA;AV ESGLÉSIA (DE L’) NUM: 4 - SANTA CRISTINA D’ARO (17246)
SANTA LLOGAIA D’ÀLGUEMA;Z CENTRE CÍVIC DE SANTA LLOGAIA D’ÀLGUEMA;CARRE ESCOLES NUM: 9 - SANTA LLOGAIA D’ÀLGUEMA (17771)
SANT ANDREU SALOU;AJUNTAMENT DE SANT ANDREU SALOU;VENAT SANT ANDREU S/N - SANT ANDREU SALOU (17454)
SANT ANIOL DE FINESTRES;LOCAL SOCIAL;CARRE ESCOLES NUM: 2 - SANT ESTEVE DE LLEMENA - SANT ANIOL DE FINESTRES (17154)
SANTA PAU;CEIP JOAN MARAGALL;CARRE ESCOLA NUM: 26 - SANTA PAU (17811)
SANTA PAU;CENTRE SOCIAL “CAN BLANC”;CARRE ESGLESIA NUM: 22 - URBANITZACIO CAN BLANC - SANTA PAU (17811)
SANT CLIMENT SESCEBES;ESCOLA SANT SEBASTIÀ;CARRE ICARIA NUM: 17 - SANT CLIMENT SESCEBES (17751)
SANT FELIU DE BUIXALLEU;SALA POLIVALENT DE SANT FELIU DE BUIXALLEU;VENAT GASERANS (DISSEMINAT) NUM: 181 - GASERANS - SANT FELIU DE BUIXALLEU (17451)
SANT FELIU DE GUÍXOLS;AJUNTAMENT DE SANT FELIU DE GUIXOLS;PLAÇA MERCAT NUM: 6 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CEIP BALDIRI REIXACH;C CORUNYA S/N - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CEIP GAZIEL;C MALL NUM: 96 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CEIP L’ESTACIO;C SANTA TERESA NUM: 49 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CENTRE CIVIC TUEDA;C GRAVINA NUM: 39 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CENTRE CÍVIC VILARTAGUES;PLAÇA SALVADOR ESPRIU S/N - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;CENTRE OCUPACIONAL TRAMUNTANA;C NOU DELS GARROFERS NUM: 84 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE GUÍXOLS;ESCOLA BRESSOL L’ORENETA;C CORDOVA NUM: 43 - SANT FELIU DE GUÍXOLS (17220)
SANT FELIU DE PALLEROLS;COL·LEGI PUBLIC ROCALBA (AULA A I B);CARRE VALLS (DELS) NUM: 4 - SANT FELIU DE PALLEROLS (17174)
SANT FERRIOL;CASA CONSISTORIAL;VENAT JUINYA S/N - JUINYA - SANT FERRIOL (17850)
SANT GREGORI;ANTIGUES ESCOLES DE CARTELLÀ;PRAGE CARTELLA S/N - CARTELLA - SANT GREGORI (17199)
SANT GREGORI;ESCOLA PUBLICA AGUSTI GIFRE;PLAÇA POBLE NUM: 3 - SANT GREGORI (17150)
SANT HILARI SACALM;COL.LEGI PUBLIC GUILLERIES;CARRE SANT JOSEP NUM: 12 - SANT HILARI SACALM (17403)
SANT JAUME DE LLIERCA;AJUNTAMENT DE SANT JAUME DE LLIERCA;CARRE ANGELA BRUTAU NUM: 1 - SANT JAUME DE LLIERCA (17854)
SANT JOAN DE LES ABADESSES;EDIFICI ABADESSA EMMA;PLCET ARQUITECTE DURAN Y REYNALS N.: 7 - SANT JOAN DE LES ABADESSES (17860)
SANT JOAN DE LES ABADESSES;ESCOLA PUBLICA MESTRE ANDREU;C MESTRE JOSEP MARIA ANDREU NUM: 4 - SANT JOAN DE LES ABADESSES (17860)
SANT JOAN DE LES ABADESSES;LOCAL PARROQUIAL;C BOVER NUM: 4 - SANT JOAN DE LES ABADESSES (17860)
SANT JOAN DE MOLLET;AJUNTAMENT DE SANT JOAN DE MOLLET;AV CATALUNYA NUM: 20 - SANT JOAN DE MOLLET (17463)
SANT JOAN LES FONTS;CENTRE SOCIO-CULTURAL;CTRA BEGUDA S/N - BEGUDA - SANT JOAN LES FONTS (17857)
SANT JOAN LES FONTS;ESCOLA MUNICIPAL DE BELLES ARTS;C/ SANT ANTONI NUM: 12 - SANT JOAN LES FONTS (17857)
SANT JOAN LES FONTS;LLAR D’AVIS;AV ESCOLES NUM: 1 - CANYA (LA) - SANT JOAN LES FONTS (17857)
SANT JORDI DESVALLS;AJUNTAMENT DE SANT JORDI DESVALLS;C/ DOCTOR MESEGUER NUM: 1 - SANT JORDI DESVALLS (17464)
SANT JULIÀ DEL LLOR I BONMATÍ;CEIP SANT JORDI;PLAÇA MASSANA NUM: 1 - BONMATI - SANT JULIÀ DEL LLOR I BONMATÍ (17164)
SANT JULIÀ DE RAMIS;LOCAL SOCIAL DE MEDINYÀ;C/ MIGDIA NUM: 20 - MEDINYA - SANT JULIÀ DE RAMIS (17482)
SANT JULIÀ DE RAMIS;PAVELLÓ D’ESPORTS - SALA 3;C/ TERRERA NUM: 1 - PLA DE BAIX (EL) - SANT JULIÀ DE RAMIS (17481)
SANT LLORENÇ DE LA MUGA;AJUNTAMENT DE SANT LLORENÇ DE LA MUGA (SALA D’EXPOSICIONS);CARRE ESGLESIA NUM: 3 - SANT LLORENÇ DE LA MUGA (17732)
SANT MARTÍ DE LLÉMENA;LOCAL SOCIAL “ELS ESTUDIS”;CTRA GIRONA S/N - SANT MARTÍ DE LLÉMENA (17153)
SANT MARTÍ VELL;AJUNTAMENT DE SANT MARTI VELL (LOCAL ANNEX);CARRE DALT NUM: 1 - SANT MARTÍ VELL (17462)
SANT MIQUEL DE CAMPMAJOR;AJUNTAMENT DE SANT MIQUEL DE CAMPMAJOR (SALA DE PLENS);PRAGE MASOS SANT MIQUEL DE CAMPMAJOR S/N - SANT MIQUEL DE CAMPMAJOR (17831)
SANT MIQUEL DE FLUVIÀ;CENTRE CIVIC “EL CLUB”;CARRE ESTACIO NUM: 12 - SANT MIQUEL DE FLUVIÀ (17475)
SANT MORI;AJUNTAMENT DE SANT MORI;CARRE SERRES (DE LES) NUM: 2 - SANT MORI (17467)
SANT PAU DE SEGÚRIES;ESCOLA PUBLICA ELS PINETS;CARRE TER NUM: 2 - SANT PAU DE SEGÚRIES (17864)
SANT PERE PESCADOR;CASAL DE SANT PERE PESCADOR (1ª PLANTA);CARRE FORN NUM: 2 - SANT PERE PESCADOR (17470)
SARRIÀ DE TER;CENTRE CIVIC SARRIA DE DALT (ED. COOPERATIVA);CARRE XUNCLA NUM: 1 - SARRIÀ DE TER (17840)
SARRIÀ DE TER;EDIFICI “EL CORO”;PLCET FONT NUM: 9 - SARRIÀ DE TER (17840)
SARRIÀ DE TER;LOCAL SOCIAL DE LA RASA;CARRE FLOR DE NEU S/N - SARRIÀ DE TER (17840)
SAUS, CAMALLERA I LLAMPAIES;CASA DE LA VILA;PL VILA (DE LA) S/N - CAMALLERA - SAUS, CAMALLERA I LLAMPAIES (17465)
SELVA DE MAR (LA);CENTRE CULTURAL I D’ESBARJO;CTRA PORT DE LA SELVA S/N - SELVA DE MAR (LA) (17489)
SERINYÀ;CEIP “BORA GRAN DE SERINYÀ”;PLAÇA AJUNTAMENT NUM: 7 - SERINYÀ (17852)
SERRA DE DARÓ;AJUNTAMENT DE SERRA DE DARO;CARRE DARO NUM: 1 - SERRA DE DARÓ (17133)
SETCASES;AJUNTAMENT DE SETCASES;PLAÇA MAJOR NUM: 1 - SETCASES (17869)
SILS;CENTRE CULTURAL I RECREATIU “LA LAGUNA”;CARRE ESGLESIA NUM: 15 - SILS (17410)
SIURANA;AJUNTAMENT DE SIURANA (BAIXOS);PLAÇA AJUNTAMENT NUM: 3 - SIURANA (17469)
SUSQUEDA;LOCAL SOCIAL DE SUSQUEDA (ANNEX AJUNTAMENT);PLAÇA AJUNTAMENT NUM: 1 - SANT MARTI SACALM - SUSQUEDA (17171)
TALLADA D’EMPORDÀ (LA);Z AJUNTAMENT DE LA TALLADA D’EMPORDÀ;C/ TORRES NUM: 1 - TALLADA D’EMPORDÀ (LA) (17134)
TERRADES;AJUNTAMENT DE TERRADES;CARRE MAJOR NUM: 7 - TERRADES (17731)
TORRENT;CASA DE LA VILA (SALA DE PLENS);PLAÇA MAJOR NUM: 1 - TORRENT (17123)
TORROELLA DE FLUVIÀ;SALA D’EXPOSICIONS;PLAÇA AJUNTAMENT NUM: 2 - TORROELLA DE FLUVIÀ (17474)
TORROELLA DE MONTGRÍ;CONVENT DELS AGUSTINS;CARRE ONZE DE SETEMBRE NUM: 2 - TORROELLA DE MONTGRÍ (17257)
TORROELLA DE MONTGRÍ;ENTITAT MUNICIPAL DESCENTRALITZADA DE L’ESTARTIT;CARRE PORT NUM: 25 - ESTARTIT (L’) - TORROELLA DE MONTGRÍ (17258)
TORTELLÀ;CASAL DE LA GENT GRAN;PLAÇA MERCAT NUM: 22 - TORTELLÀ (17853)
TOSES;AJUNTAMENT DE TOSES;CARRE SOLEI NUM: 2 - TOSES (17536)
TOSSA DE MAR;EDIFICI LA NAU;AV PELEGRI NUM: 25 - TOSSA - TOSSA DE MAR (17320)
ULLÀ;CENTRE CÍVIC D’ULLÀ;CARRE RESCLOSA (LA) NUM: 12 - ULLÀ (17140)
ULLASTRET;AJUNTAMENT D’ULLASTRET;CARRE RECTORIA NUM: 5 - ULLASTRET (17114)
ULTRAMORT;CASA CONSISTORIAL (BAIXOS);PLAÇA CONSTITUCIO NUM: 1 - ULTRAMORT (17133)
URÚS;LOCAL SOCIAL;C/ SANT CLIMENT NUM: 3 - URÚS (17538)
VAJOL (LA);AJUNTAMENT DE LA VAJOL (BAIXOS);CARRE PONENT S/N - VAJOL (LA) (17707)
VALL DE BIANYA (LA);ANTIGA ESCOLA DE L’HOSTALNOU;CTRA CAMPRODON (DE) NUM: 2 - HOSTALNOU DE BIANYA (L’) - VALL DE BIANYA (LA) (17813)
VALL DE BIANYA (LA);LLAR D’INFANTS MUNICIPAL;C/ LLUIS DE BOLOS NUM: 12 - CANYA (LA) - VALL DE BIANYA (LA) (17858)
VALL D’EN BAS (LA);ANTIGUES ESCOLES DE NENS;LLOC JOANETES NUM: 61 - JOANETES - VALL D’EN BAS (LA) (17176)
VALL D’EN BAS (LA);ANTIGUES ESCOLES;PG GENERAL ESTARTÚS NUM: 57 - SANT PRIVAT D’EN BAS - VALL D’EN BAS (LA) (17178)
VALL D’EN BAS (LA);ESCOLA DE PARVULS DE SANT ESTEVE D’EN BAS;AV FERNANDO LAPARTE NUM: 4 - BAS - VALL D’EN BAS (LA) (17176)
VALL D’EN BAS (LA);LOCAL SOCIAL DELS HOSTALETS D’EN BAS;PLAÇA MAJOR HOSTALETS NUM: 6 - HOSTALETS D’EN BAS - BAS - VALL D’EN BAS (LA) (17177)
VALLFOGONA DE RIPOLLÈS;CASAL CULTURAL (SALA POLIVALENT);CARRE PUIG-ESTELA NUM: 11 - VALLFOGONA DE RIPOLLÈS (17862)
VALL-LLOBREGA;SALA POLIVALENT;CARRE RAVAL DE BAIX NUM: 23 - ZONA RURAL RAVAL DE BAIX - EIXAMPLE - VALL-LLOBREGA (17253)
VENTALLÓ;ESCOLES MUNICIPALS;CARRE ESCOLES NUM: 1 - VENTALLÓ (17473)
VERGES;CASA DE CULTURA;CARRE PLACETA (LA) NUM: 2 - VERGES (17142)
VIDRÀ;BIBLIOTECA MUNICIPAL;PLAÇA AJUNTAMENT S/N - VIDRÀ (17515)
VIDRERES;COL.LEGI PUBLIC SANT ISCLE;CARRE ORIENT NUM: 115 - VIDRERES (17411)
VILABERTRAN;ESCOLA TORRE D’EN REIG;C/ RAMON REIG NUM: 3 - VILABERTRAN (17760)
VILABLAREIX;CENTRE CULTURAL CAN GRUART;CARRE FARIGOLA NUM: 50 - PERELLÓ (EL) - VILABLAREIX (17180)
VILADAMAT;CENTRE CIVIC;PLAÇA VILA (DE LA) NUM: 1 - VILADAMAT (17137)
VILADASENS;CENTRE CÍVIC DE VILADASENS;CARRE MIGDIA NUM: 10 - VILADASENS (17464)
VILADEMULS;COL.LEGI SANT ESTEVE DE GUIALBES;VENAT SANT ESTEVE DE GUIALBES NUM: 4 - SANT ESTEVE DE GUIALBES - VILADEMULS (17468)
VILADEMULS;LOCAL SOCIAL “EL PALLER DE VILADEMULS”;VENAT VILADEMULS NUM: 30 - VILADEMULS (17468)
VILADRAU;AJUNTAMENT DE VILADRAU-ANTICS COL.LEGIS PUBLICS;C/ BALCELLS I MORATO NUM: 3 - VILADRAU (17406)
VILAFANT;CEIP LES MÈLIES;C/ COMES (LES) NUM: 5 - ARENGADES-ENGINYERS - VILAFANT (17740)
VILAFANT;CEIP “SOL I VENT”;C/ ESCOLES NUM: 14 - VILAFANT (17740)
VILAFANT;CENTRE SOCIAL “LES FORQUES”;C/ REC SUSANNA NUM: 10 - FORQUES (LES) - VILAFANT (17740)
VILAJUÏGA;AJUNTAMENT DE VILAJUÏGA (ANNEX);C/ SANT SEBASTIÀ NUM: 39 - VILAJUÏGA (17493)
VILALLONGA DE TER;ESCOLES NACIONALS;PLAÇA ESCOLES (DE LES) NUM: 1 - VILALLONGA DE TER (17869)
VILAMACOLUM;AJUNTAMENT DE VILAMACOLUM;PLAÇA CATALUNYA NUM: 1 - VILAMACOLUM (17474)
VILAMALLA;CASA CONSISTORIAL (SALA D’ACTES);PLAÇA FONT S/N - VILAMALLA (17469)
VILAMANISCLE;SALA POLIVALENT;CARRE PLAÇA S/N - VILAMANISCLE (17781)
VILANANT;LOCAL SOCIAL DE VILANANT (SALA ANNEXA);CARRE ESCOLES NUM: 3 - VILANANT (17743)
VILA-SACRA;AJUNTAMENT DE VILA-SACRA;PLAÇA ABADIA (DE LA) NUM: 1 - VILA-SACRA (17485)
VILAÜR;CENTRE CIVIC;CARRE TRAMUNTANA NUM: 5 - VILAÜR (17483)
VILOBÍ D’ONYAR;L CAN ROSCADA (BAIXOS);TRSSI CASA DE LA VILA NUM: 1 - VILOBÍ D’ONYAR (17185)
VILOBÍ D’ONYAR;Z CAN ROSCADA (BAIXOS);TRSSI CASA DE LA VILA NUM: 1 - VILOBÍ D’ONYAR (17185)
VILOPRIU;EL CASAL;CARRE PAÏSOS CATALANS (DELS) NUM: 4 - VILOPRIU (17466)
