COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25028|ALT ANEU|01|001||U|A Z|SALA D'ACTES DE L'AJUNTAMENT D'ALT ANEU|AVGDA DEL PORT DE LA BONAIGUA, 9 -VALENCIA D'ANEU-
25029|ANGLESOLA|01|001||A|A L|EDIFICI DEL COL·LEGI PUBLIC|AV CATALUNYA, 28
25029|ANGLESOLA|01|001||B|M Z|EDIFICI DEL COL·LEGI PUBLIC|AV CATALUNYA, 28
25030|ARBECA|01|001||U|A Z|LOCAL SOCIAL|PLAÇA UNIO REPUBLICANA, S/N
25030|ARBECA|01|002||U|A Z|LOCAL SOCIAL|PLAÇA UNIO REPUBLICANA, S/N
25031|ARRES|01|001||U|A Z|AJUNTAMENT DE ARRES-EDIFICI ESCOLES|CARRER MAJOR, S/N -ARRES DE JOS-
25032|ARSEGUEL|01|001||U|A Z|LOCAL SOCIAL|CARRER DOCTOR LLANGORT, 1
25033|ARTESA DE LLEIDA|01|001||A|A K|COL·LEGI PUBLIC "ELS TIL·LERS"|CARRER DE SANT RAMON, 12
25033|ARTESA DE LLEIDA|01|001||B|L Z|COL·LEGI PUBLIC "ELS TIL·LERS"|CARRER DE SANT RAMON, 12
25034|ARTESA DE SEGRE|01|001||A|A K|CENTRE D'ENTITATS LES MONGES|PLAÇA DE LA NACIO CATALANA, 2
25034|ARTESA DE SEGRE|01|001||B|L Z|CENTRE D'ENTITATS LES MONGES|PLAÇA DE LA NACIO CATALANA, 2
25034|ARTESA DE SEGRE|01|002||A|A L|CENTRE D'ENTITATS LES MONGES|PLAÇA DE LA NACIO CATALANA, 2
25034|ARTESA DE SEGRE|01|002||B|M Z|CENTRE D'ENTITATS LES MONGES|PLAÇA DE LA NACIO CATALANA, 2
25035|ASPA|01|001||U|A Z|SALA DE L'AJUNTAMENT|PLAÇA DE LA VILA, 8
25036|AVELLANES I SANTA LINYA (LES)|01|001||U|A Z|SALA D'ACTES DE L'AJUNTAMENT|CARRER BAIXADA ESGLESIA, 3 -LES AVELLANES-
25037|BAIX PALLARS|01|001||U|A Z|AJUNTAMENT - BAIXOS|CARRER SANT SEBASTIA, 1 -GERRI DE LA SAL-
25038|BALAGUER|01|001||U|A Z|AJUNTAMENT|PLAÇA MERCADAL, 1
25039|BALAGUER|01|002||U|A Z|ESCOLES LA NOGUERA|CTRA DE CASTELLO, S/N
25040|BALAGUER|02|001|01|A|A Z|EDIFICI LA PALLA VA CARA|CARRER PINTOR FBORRAS, 21
25041|BALAGUER|02|001|02|B|A Z|CENTRE OBERT LA NOGUERA|CARRER MONTERO, S/N
25042|BALAGUER|03|001||A|A K|GUARDERIA PATUFET|CARRER JACINT VERDAGUER, S/N
25042|BALAGUER|03|001||B|L Z|GUARDERIA PATUFET|CARRER JACINT VERDAGUER, S/N
25043|BALAGUER|03|002||U|A Z|EDIFICI IES CIUTAT DE BALAGUER|CARRER URGELL, 94
25044|BALAGUER|04|001||A|A K|HOSPITAL COMTE JAUME D'URGELL|AV PERE III, 1
25044|BALAGUER|04|001||B|L Z|HOSPITAL COMTE JAUME D'URGELL|AV PERE III, 1
25045|BALAGUER|04|002||A|A K|COL·LEGI GERMANES CARMELITES|CARRER PARE SANAHUJA, S/N
25045|BALAGUER|04|002||B|L Z|COL·LEGI GERMANES CARMELITES|CARRER PARE SANAHUJA, S/N
25046|BALAGUER|04|003||A|A K|COL·LEGI PARES ESCOLAPIS|CARRER BARCELONA, S/N
25046|BALAGUER|04|003||B|L Z|COL·LEGI PARES ESCOLAPIS|CARRER BARCELONA, S/N
25046|BALAGUER|04|004||A|A K|COL·LEGI PARES ESCOLAPIS|CARRER BARCELONA, S/N
25046|BALAGUER|04|004||B|L Z|COL·LEGI PARES ESCOLAPIS|CARRER BARCELONA, S/N
25047|BARBENS|01|001||U|A Z|BAIXOS AJUNTAMENT|PLAÇA L'ESGLESIA, 3
25048|BARONIA DE RIALB (LA)|01|001||U|A Z|AJUNTAMENT|CARRER MONESTIR, 1 -GUALTER-
25049|BASSELLA|01|001||U|A Z|AJUNTAMENT|CAL AJUNTAMENT, S/N
25050|BAUSEN|01|001||U|A Z|CASA ESCOLA DE BAUSEN|CARRER SANT ANTONI, 7
25051|BELIANES|01|001||U|A Z|AJUNTAMENT DE BELIANES|AJUNTAMENT, S/N
25052|BELL-LLOC D'URGELL|01|001||U|A Z|EDIFICI COSTERETA|PLAÇA CATALUNYA, 1
25053|BELL-LLOC D'URGELL|01|002||U|A Z|EDIFICI SALA CULTURAL|CARRER LA MINA, 12
25054|BELLAGUARDA|01|001||U|A Z|EDIFICI AJUNTAMENT|PLAÇA ESCOLES, 10
25055|BELLCAIRE D'URGELL|01|001||A|A L|COL·LEGI PUBLIC BONAVISTA|CARRER BONAVISTA, 26
25055|BELLCAIRE D'URGELL|01|001||B|M Z|COL·LEGI PUBLIC BONAVISTA|CARRER BONAVISTA, 26
25056|BELLMUNT D'URGELL|01|001||U|A Z|CASA CONSISTORIAL|CARRER MAJOR, 18
25057|BELLPUIG|01|001||A|A K|CASAL D'ENTITATS CASA CARME SERRA|PLAÇA SANT ROC, 23
25057|BELLPUIG|01|001||B|L Z|CASAL D'ENTITATS CASA CARME SERRA|PLAÇA SANT ROC, 23
25057|BELLPUIG|01|002||A|A L|CASAL D'ENTITATS CASA CARME SERRA|PLAÇA SANT ROC, 23
25057|BELLPUIG|01|002||B|M Z|CASAL D'ENTITATS CASA CARME SERRA|PLAÇA SANT ROC, 23
25057|BELLPUIG|01|003||U|A Z|CASAL D'ENTITATS CASA CARME SERRA|PLAÇA SANT ROC, 23
25058|BELLVER DE CERDANYA|01|001||A|A L|EDIFICI DEL CENTRE CIVIC|CARRER ESCOLES, 6
25058|BELLVER DE CERDANYA|01|001||B|M Z|EDIFICI DEL CENTRE CIVIC|CARRER ESCOLES, 6
25059|BELLVIS|01|001||A|A M|AJUNTAMENT|PLAÇA CATALUNYA, S/N
25060|BELLVIS|01|001||B|N Z|AJUNTAMENT|CARRER DOMENEC CARDENAL, 48
25061|BENAVENT DE SEGRIA|01|001||A|A L|AJUNTAMENT|PLAÇA AJUNTAMENT, 1
25061|BENAVENT DE SEGRIA|01|001||B|M Z|AJUNTAMENT|PLAÇA AJUNTAMENT, 1
25062|BIOSCA|01|001||U|A Z|ESCOLA PUBLICA SANTS ABDON I SENEN|CARRER CAMINOU, S/N
25063|BORDES (ES)|01|001||U|A Z|LOCAL DEL COL·LEGI PUBLIC D'ES BORDES|CARRER DERA LACA, 23
