COD.MUN|MUNICIPI|DTE.|SECCIÓ|SUB.|MESA|COMPREN ELS ELECTORS|LOCALS EN QUE SE CELEBRA LA VOTACIÓ|DIRECCIÓ
25139|LLEIDA|03|004||B|M Z|COL·LEGI GERMANS MARISTES|AVGDA CATALUNYA, 3
25140|LLEIDA|03|005||U|A Z|INSTITUT E.SMARIUS TORRES|CARRER NARCIS MONTURIOL, 2
25141|LLEIDA|03|006||A|A K|EDIFICI ESCORXADOR (LOCAL AA.VV.)|PLAÇA L'ESCORXADOR, 1
25141|LLEIDA|03|006||B|L Z|EDIFICI ESCORXADOR (LOCAL AA.VV.)|PLAÇA L'ESCORXADOR, 1
25139|LLEIDA|03|007||U|A Z|COL·LEGI GERMANS MARISTES|AVGDA CATALUNYA, 3
25139|LLEIDA|03|008||U|A Z|COL·LEGI GERMANS MARISTES|AVGDA CATALUNYA, 3
25137|LLEIDA|04|001||A|A L|CENTRE CIVIC DE L'ERETA|PLAÇA ERETA, 1
25137|LLEIDA|04|001||B|M Z|CENTRE CIVIC DE L'ERETA|PLAÇA ERETA, 1
25142|LLEIDA|04|003||A|A K|UNIVERSITAT DE LLEIDA|CARRER MARAGALL, 20
25142|LLEIDA|04|003||B|L Z|UNIVERSITAT DE LLEIDA|CARRER MARAGALL, 20
25142|LLEIDA|04|004||U|A Z|UNIVERSITAT DE LLEIDA|CARRER MARAGALL, 20
25143|LLEIDA|04|005||U|A Z|COL·LEGI EPISCOPAL|CARRER DOCTOR COMBELLES, 38
25143|LLEIDA|04|006||A|A L|COL·LEGI EPISCOPAL|CARRER DOCTOR COMBELLES, 38
25143|LLEIDA|04|006||B|M Z|COL·LEGI EPISCOPAL|CARRER DOCTOR COMBELLES, 38
25144|LLEIDA|04|007||U|A Z|C.E.I.P- JOAN XXIII|AVGDA PIUS XII, 4
25144|LLEIDA|04|008||U|A Z|C.E.I.P- JOAN XXIII|AVGDA PIUS XII, 4
25145|LLEIDA|04|010||A|A L|C.E.I.P- SANTA MARIA DE GARDENY|CARRER ROSSINYOL, 2
25145|LLEIDA|04|010||B|M Z|C.E.I.P- SANTA MARIA DE GARDENY|CARRER ROSSINYOL, 2
25146|LLEIDA|04|011||A|A L|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|011||B|M Z|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|013||U|A Z|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|014||A|A L|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|014||B|M Z|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|015||A|A L|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25146|LLEIDA|04|015||B|M Z|C.E.I.P- MAGI MORERA|PG ONZE DE SETEMBRE, 139
25141|LLEIDA|04|016||U|A Z|EDIFICI ESCORXADOR (LOCAL AA.VV.)|PLAÇA L'ESCORXADOR, 1
25144|LLEIDA|04|017||A|A K|C.E.I.P- JOAN XXIII|AVGDA PIUS XII, 4
25144|LLEIDA|04|017||B|L Z|C.E.I.P- JOAN XXIII|AVGDA PIUS XII, 4
25147|LLEIDA|05|002||U|A Z|SERVEI TERRITORIAL D'AGRICULTURA|CARRER CAMP DE MART, 35
25148|LLEIDA|05|003||U|A Z|DELEGACIO D'HISENDA|PLAÇA CERVANTES, 17
25149|LLEIDA|05|004||U|A Z|COL·LEGI DOMINIQUES|CARRER VALLCALENT, 40
25149|LLEIDA|05|005||U|A Z|COL·LEGI DOMINIQUES|CARRER VALLCALENT, 40
25150|LLEIDA|05|006||A|A K|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25150|LLEIDA|05|006||B|L Z|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25147|LLEIDA|05|007||U|A Z|SERVEI TERRITORIAL D'AGRICULTURA|CARRER CAMP DE MART, 35
25150|LLEIDA|05|008||U|A Z|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25149|LLEIDA|05|009||U|A Z|COL·LEGI DOMINIQUES|CARRER VALLCALENT, 40
25149|LLEIDA|05|010||U|A Z|COL·LEGI DOMINIQUES|CARRER VALLCALENT, 40
25150|LLEIDA|05|011||A|A K|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25150|LLEIDA|05|011||B|L Z|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25150|LLEIDA|05|012||U|A Z|C.E.I.P- JOC DE LA BOLA|CARRER SEGOVIA, 5
25151|LLEIDA|06|001|01|A|A Z|DIPUTACIO PROVINCIAL|CARRER CARME, 26
25152|LLEIDA|06|001|02|B|A Z|COL·LEGI LESTONAC-L'ENSENYANÇA|AVGDA PRAT DE LA RIBA, 38
25153|LLEIDA|06|002||A|A K|INSTITUT E.S- ESCOLA DEL TREBALL|CARRER PI I MARGALL, 51
25153|LLEIDA|06|002||B|L Z|INSTITUT E.S- ESCOLA DEL TREBALL|CARRER PI I MARGALL, 51
25153|LLEIDA|06|003||A|A K|INSTITUT E.S- ESCOLA DEL TREBALL|CARRER PI I MARGALL, 51
25153|LLEIDA|06|003||B|L Z|INSTITUT E.S- ESCOLA DEL TREBALL|CARRER PI I MARGALL, 51
25154|LLEIDA|06|004||A|A K|C.E.I.P- SANT JOSEP DE CALASANZ|CARRER PAU CLARIS, 5
25154|LLEIDA|06|004||B|L Z|C.E.I.P- SANT JOSEP DE CALASANZ|CARRER PAU CLARIS, 5
25155|LLEIDA|06|005||U|A Z|SERVEI CATALA DE LA SALUT|AVGDA ALCALDE ROVIRA ROURE, 2
25156|LLEIDA|06|006||U|A Z|C.E.I.P- BALAFIA|CARRER VALLS D'ANDORRA, 20
25129|LLEIDA|06|007||A|A K|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25129|LLEIDA|06|007||B|L Z|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25129|LLEIDA|06|009||A|A L|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25129|LLEIDA|06|009||B|M Z|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25153|LLEIDA|06|010||U|A Z|INSTITUT E.S- ESCOLA DEL TREBALL|CARRER PI I MARGALL, 51
25157|LLEIDA|06|011||U|A Z|FACULTAT DE MEDICINA|CARRER MONTSERRAT ROIG, 2
25154|LLEIDA|06|012||A|A L|C.E.I.P- SANT JOSEP DE CALASANZ|CARRER PAU CLARIS, 5
25154|LLEIDA|06|012||B|M Z|C.E.I.P- SANT JOSEP DE CALASANZ|CARRER PAU CLARIS, 5
25155|LLEIDA|06|013||U|A Z|SERVEI CATALA DE LA SALUT|AVGDA ALCALDE ROVIRA ROURE, 2
25129|LLEIDA|06|014||A|A K|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25129|LLEIDA|06|014||B|L Z|CENTRE CIVIC DE BALAFIA|CARRER TERRASSA, 1
25157|LLEIDA|06|016||U|A Z|FACULTAT DE MEDICINA|CARRER MONTSERRAT ROIG, 2
25156|LLEIDA|06|017||A|A K|C.E.I.P- BALAFIA|CARRER VALLS D'ANDORRA, 20
25156|LLEIDA|06|017||B|L Z|C.E.I.P- BALAFIA|CARRER VALLS D'ANDORRA, 20
25158|LLEIDA|07|001||A|A F|C.E.I.P- ENRIC FARRENY|CARRER BARBASTRO, 2
25158|LLEIDA|07|001||B|G O|C.E.I.P- ENRIC FARRENY|CARRER BARBASTRO, 2
25158|LLEIDA|07|001||C|P Z|C.E.I.P- ENRIC FARRENY|CARRER BARBASTRO, 2
25159|LLEIDA|07|002||U|A Z|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25158|LLEIDA|07|003||A|A K|C.E.I.P- ENRIC FARRENY|CARRER BARBASTRO, 2
25158|LLEIDA|07|003||B|L Z|C.E.I.P- ENRIC FARRENY|CARRER BARBASTRO, 2
25160|LLEIDA|07|004||A|A K|LOCAL SOCIAL MAGRANERS|PLAÇA JOAN XXIII, 1
25160|LLEIDA|07|004||B|L Z|LOCAL SOCIAL MAGRANERS|PLAÇA JOAN XXIII, 1
25159|LLEIDA|07|005||A|A K|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25159|LLEIDA|07|005||B|L Z|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25159|LLEIDA|07|006||A|A L|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25159|LLEIDA|07|006||B|M Z|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25159|LLEIDA|07|007||A|A K|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25159|LLEIDA|07|007||B|L Z|PAVELLO MUNICIPAL DE LA BORDETA|TRSSI SANT JORDI, 1
25161|LLEIDA|08|001|01|A|A Z|C.E.I.P- ANTONI BERGOS (COSTAT ESGLESIA)|PTDA BUTSENIT, 43 -BUTSENIT-
25162|LLEIDA|08|001|02|B|A Z|LOCAL SOCIAL DEL CAMI DE LA MARIOLA|PTDA MALGOVERN, 1 -LES TORRES DE SANUI-
25163|LLEIDA|08|002|01|A|A K|ESCOLA TECNICA SUPERIOR ENGINYER.AGRARIA|AVGDA ALCALDE ROVIRA ROURE, 191
25163|LLEIDA|08|002|01|B|L Z|ESCOLA TECNICA SUPERIOR ENGINYER.AGRARIA|AVGDA ALCALDE ROVIRA ROURE, 191
25164|LLEIDA|08|002|02|C|A Z|COL·LEGI MATER SALVATORIS|PTDA PLA DE MONSO, 30 -LES BASSES D'ALPICAT-
25157|LLEIDA|08|002|03|D|A Z|FACULTAT DE MEDICINA|CARRER MONTSERRAT ROIG, 2
25165|LLEIDA|08|003|01|A|A Z|CASA SOCIAL|CARRER MAJOR - RAIMAT, 1 -RAIMAT-
25166|LLEIDA|08|003|02|B|A Z|C.E.I.P- EL VILOT|CARRER SUQUETS - SUCHS, 20 -SUCHS-
25163|LLEIDA|09|001|01|A|A Z|ESCOLA TECNICA SUPERIOR ENGINYER.AGRARIA|AVGDA ALCALDE ROVIRA ROURE, 191
25167|LLEIDA|09|001|02|B|A Z|LOCAL SOCIAL DE MONTCADA|PTDA CUNILLAS, 16 -GUALDA-
25168|LLEIDA|09|002|01|A|A Z|SALA MUNICIPAL POLIVALENT "EL CASINET"|CARRER GRAN - LLIVIA, 58 -LLIVIA-
25134|LLEIDA|09|002|02|B|A Z|C.E.I.P- TERRES DE PONENT|AVGDA SANT PERE, 54
25169|LES|01|001||U|A Z|COLEGIO PUBLICO DE LES ALEJANDRO CASONA|CARRER DES BANHS, S/N
25170|LINYOLA|01|001||U|A Z|CEIP EL SITJAR DE LINYOLA|RONDA PAU CASALS, 6
25170|LINYOLA|01|002||A|A L|CEIP EL SITJAR DE LINYOLA|RONDA PAU CASALS, 6
25170|LINYOLA|01|002||B|M Z|CEIP EL SITJAR DE LINYOLA|RONDA PAU CASALS, 6
25171|LLADORRE|01|001||U|A Z|SALA D'ACTES|CARRER UNIC, S/N
25172|LLADURS|01|001||U|A Z|SALA DE SESSIONS DE L'AJUNTAMENT|CTRA SOLSONA-SANT LLORENÇ, S/N
25173|LLARDECANS|01|001||U|A Z|LLAR DE JUBILATS|PLAÇA DELS ARBRES, 3
25174|LLAVORSI|01|001||U|A Z|SALA D'ACTES DE LA CASA CONSISTORIAL|CTRA DE LA VALL D'ARAN, 55
25175|LLES DE CERDANYA|01|001||U|A Z|COL·LEGI PUBLIC DE LLES|PLAÇA MAJOR, 1
25176|LLIMIANA|01|001||U|A Z|AJUNTAMENT|PLAÇA MAJOR, 1
25177|LLOBERA|01|001||U|A Z|LOCAL SOCIAL|LOCAL SOCIAL, S/N -PERACAMPS-
25178|MAIALS|01|001||U|A Z|ESCOLA PUBLICA CEIP OTOGESA DE MAIALS|PLAÇA ELISEO SALES, S/N
25179|MALDA|01|001||U|A Z|LLAR DE JUBILATS-EDIFICI AJUNTAMENT|PLAÇA HOMENATGE A LA VELLESA, 1
25180|MASSALCOREIG|01|001||U|A Z|EDIFICI AJUNTAMENT|PLAÇA ESGLESIA, S/N
25181|MASSOTERES|01|001||U|A Z|CENTRE SOCIAL DE MASSOTERES|CARRER FONT, 1
25182|MENARGUENS|01|001||U|A Z|ESCOLA PUBLICA "JOAN ROS PORTA"|PLAÇA EMPIT DEL VALL, 10
25183|MIRALCAMP|01|001||A|A L|ESCOLA PUBLICA "SANT MIQUEL"|C/ ESCOLES, S/N
25183|MIRALCAMP|01|001||B|M Z|ESCOLA PUBLICA "SANT MIQUEL"|C/ ESCOLES, S/N
25184|MOLSOSA (LA)|01|001||U|A Z|CENTRE RECREATIU|CASA CONSISTORIAL, S/N
25185|MOLLERUSSA|01|001||A|A K|COL·LEGI DEL CARME|CARRER CRIST REI, 5
25185|MOLLERUSSA|01|001||B|L Z|COL·LEGI DEL CARME|CARRER CRIST REI, 5
25186|MOLLERUSSA|01|002||A|A K|COL·LEGI LA SALLE|CARRER FERRER I BUSQUETS, 17
25186|MOLLERUSSA|01|002||B|L Z|COL·LEGI LA SALLE|CARRER FERRER I BUSQUETS, 17
25186|MOLLERUSSA|01|003||U|A Z|COL·LEGI LA SALLE|CARRER FERRER I BUSQUETS, 17
25187|MOLLERUSSA|01|004||A|A K|EDIFICI GUIU CLARA|CARRER ARBECA, 34
25187|MOLLERUSSA|01|004||B|L Z|EDIFICI GUIU CLARA|CARRER ARBECA, 34
25187|MOLLERUSSA|01|005||A|A K|EDIFICI GUIU CLARA|CARRER ARBECA, 34
25187|MOLLERUSSA|01|005||B|L Z|EDIFICI GUIU CLARA|CARRER ARBECA, 34
25186|MOLLERUSSA|01|006||A|A K|COL·LEGI LA SALLE|CARRER FERRER I BUSQUETS, 17
25186|MOLLERUSSA|01|006||B|L Z|COL·LEGI LA SALLE|CARRER FERRER I BUSQUETS, 17
25188|MONTELLA I MARTINET|01|001||U|A Z|LOCAL JOVE|PLAÇA PERE SARRET, 1 -MARTINET-
25189|MONTFERRER I CASTELLBO|01|001||U|A Z|CASA CONSISTORIAL|PLAÇA LA TROBADA MONTFERRER, S/N -MONTFERRER-
25190|MONTGAI|01|001|01|A|A Z|ESCOLES PUBLIQUES|AV GENERALITAT, 21
25191|MONTGAI|01|001|02|B|A Z|ESCOLES PUBLIQUES|CARRER BUENOS AIRES, S/N -BUTSENIT-
25192|MONTOLIU DE LLEIDA|01|001||U|A Z|SALA DEL BALL|CARRER LA CREU, 21
25193|MONTOLIU DE SEGARRA|01|001||U|A Z|LOCAL SOCIAL|CARRER CALL, 5
25194|MONTORNES DE SEGARRA|01|001||U|A Z|LOCAL SOCIAL DE MONTORNES|CARRER MAJOR, S/N
25195|NALEC|01|001||U|A Z|AJUNTAMENT- CASAL D'AVIS|PLAÇA ESGLESIA, S/N
25196|NAUT ARAN|01|001|01|A|A Z|POLIESPORTIU MUNICIPAL - SALARDU|CTRA BAGERGUE UVAGO, 4 -SALARDU-
25197|NAUT ARAN|01|001|02|B|A Z|EDIFICI AJUNTAMENT, BAIXOS - ARTIES|PLAÇA ORTAU, 1 -ARTIES-
25198|NAVES|01|001||U|A Z|CASA CONSISTORIAL|CASA CONSISTORIAL, S/N
25199|ODEN|01|001||U|A Z|CASA CONSISTORIAL|CTRA DE COLL DE JOU, S/N -CAMBRILS-
25200|OLIANA|01|001||A|A K|AJUNTAMENT|PLAÇA LA REGUERETA, S/N
25200|OLIANA|01|001||B|L Z|AJUNTAMENT|PLAÇA LA REGUERETA, S/N
25201|OLIOLA|01|001||U|A Z|AJUNTAMENT|PLAÇA ESCOLES, 1
25202|OLIUS|01|001||U|A Z|LA CASA DEL POBLE|PLAÇA DE L'OLIVERA, 1 -EL PI DE SANT JUST-
25203|OLUGES (LES)|01|001||U|A Z|CASA CONSISTORIAL|CARRER DEL CASTELL, 2
25204|OMELLONS (ELS)|01|001||U|A Z|LOCAL SOCIAL DELS OMELLONS - BAIXOS|PLAÇA MAJOR, 13
25205|OMELLS DE NA GAIA (ELS)|01|001||U|A Z|ESCOLA PUBLICA|PLAÇA MAJOR, 1
25206|ORGANYA|01|001||U|A Z|AJUNTAMENT (SALA D'ACTES)|CTRA LLEIDA, 23
25207|OS DE BALAGUER|01|001|01|A|A Z|AJUNTAMENT D'OS DE BALAGUER|CARRER LA SEDA, 26
25208|OS DE BALAGUER|01|001|02|B|A Z|EMD DE GERB|PLAÇA MAJOR - GERB, 2 -GERB-
25209|OSSO DE SIO|01|001||U|A Z|LOCAL SOCIAL D'OSSO DE SIO|PLAÇA MAJOR OSSO DE SIO, S/N
25210|PALAU D'ANGLESOLA (EL)|01|001||A|A L|COL·LEGI PUBLIC ARNAU BERENGUER|PLAÇA GENERALITAT, S/N
25210|PALAU D'ANGLESOLA (EL)|01|001||B|M Z|COL·LEGI PUBLIC ARNAU BERENGUER|PLAÇA GENERALITAT, S/N
25211|PENELLES|01|001||U|A Z|SALA LO XARAGALL|CARRER DE RITA BOLDU, S/N
25212|PERAMOLA|01|001||U|A Z|AJUNTAMENT|CARRER FEDERICO RIBO, 8
25213|PINELL DE SOLSONES|01|001||U|A Z|CASA CONSISTORIAL|AJUNTAMENT NOU, S/N -SANT CLIMENÇ-
25214|PINOS|01|001||U|A Z|AJUNTAMENT|CASA CONSISTORIAL, S/N
25215|PLANS DE SIO|01|001||U|A Z|COL·LEGI PUBLIC DE LES PALLARGUES|CARRER ESTUDIS, S/N -LES PALLARGUES-
25216|POAL (EL)|01|001||U|A Z|ESCOLA PUBLICA "EL ROSER" AULA CICLE SU.|PLAÇA CATALUNYA, 1
25217|POBLA DE CERVOLES (LA)|01|001||U|A Z|AJUNTAMENT|PLAÇA SANT MIQUEL, 9
25218|POBLA DE SEGUR (LA)|01|001||A|A L|COMU DE PARTICULARS|CARRER LA FONT, 17
25218|POBLA DE SEGUR (LA)|01|001||B|M Z|COMU DE PARTICULARS|CARRER LA FONT, 17
25219|POBLA DE SEGUR (LA)|01|002||A|A K|TORRE MAURI|AV VERDAGUER, 35
25219|POBLA DE SEGUR (LA)|01|002||B|L Z|TORRE MAURI|AV VERDAGUER, 35
25220|PONT DE BAR (EL)|01|001||U|A Z|AJUNTAMENT|PLAÇA MAJOR, 1
25221|PONT DE SUERT (EL)|01|001||A|A K|EDIFICI NOVA CONFRARIA DE SANT SEBASTIA|AV DE VICTORIANO MUÑOZ, 22
25221|PONT DE SUERT (EL)|01|001||B|L Z|EDIFICI NOVA CONFRARIA DE SANT SEBASTIA|AV DE VICTORIANO MUÑOZ, 22
25221|PONT DE SUERT (EL)|01|002||U|A Z|EDIFICI NOVA CONFRARIA DE SANT SEBASTIA|AV DE VICTORIANO MUÑOZ, 22
25222|PONTS|01|001||U|A Z|"LA SALA"|CARRER SANT CRISTOFOL, 12
25222|PONTS|01|002||A|A L|"LA SALA"|CARRER SANT CRISTOFOL, 12
25222|PONTS|01|002||B|M Z|"LA SALA"|CARRER SANT CRISTOFOL, 12
25223|PORTELLA (LA)|01|001||U|A Z|AJUNTAMENT (BAIXOS)|PLAÇA CREU, 1
25224|PRATS I SANSOR|01|001||U|A Z|LOCAL SOCIAL AJUNTAMENT|PLAÇA DE LA FONT, S/N -PRATS-
25225|PREIXANA|01|001||U|A Z|CASAL SOCIAL D'AVIS|PLAÇA CATALUNYA, 5
25226|PREIXENS|01|001||U|A Z|ESCOLES PUBLIQUES DE PREIXENS|TRSSI SANT JOAN, S/N
25227|PRULLANS|01|001||U|A Z|AJUNTAMENT - ESCOLA|CARRER PUIG, S/N
25228|PUIGGROS|01|001||U|A Z|CASAL CULTURAL|CARRER NOU, S/N
25229|PUIGVERD D'AGRAMUNT|01|001||U|A Z|CONSULTORI MEDIC|CARRER CENDRA, 5
25230|PUIGVERD DE LLEIDA|01|001||A|A L|ESCOLA SANT JORDI|CARRER LLEIDA, 65
25230|PUIGVERD DE LLEIDA|01|001||B|M Z|ESCOLA SANT JORDI|CARRER LLEIDA, 65
25231|RIALP|01|001||U|A Z|AJUNTAMENT - SALA DE PLENS, PLANTA 1ª|PLAÇA DEL TORNALL, 1
25232|RIBERA D'ONDARA|01|001||U|A Z|AJUNTAMENT|CARRER RAVAL DEL PONT, 6 -SANT ANTOLI I VILANOVA-
25233|RIBERA D'URGELLET|01|001||U|A Z|CASA CONSISTORIAL|CTRA LLEIDA, S/N -EL PLA DE SANT TIRS-
25234|RINER|01|001||U|A Z|CASA GRAN DEL MIRACLE|CASA GRAN, S/N -EL MIRACLE-
25235|RIU DE CERDANYA|01|001||U|A Z|SALA SOCIAL DE L'AJUNTAMENT|PLAÇA DE L'AJUNTAMENT, 1
25236|ROSSELLO|01|001||A|A F|EDIFICI AJUNTAMENT DE ROSSELLO|AVGDA CATALUNYA, 2
25236|ROSSELLO|01|001||B|G O|EDIFICI AJUNTAMENT DE ROSSELLO|AVGDA CATALUNYA, 2
25236|ROSSELLO|01|001||C|P Z|EDIFICI AJUNTAMENT DE ROSSELLO|AVGDA CATALUNYA, 2
25237|SALAS DE PALLARS|01|001||U|A Z|EDIFICI "LO CASAL"|CARRER BON JESUS, 5
25238|SANAUJA|01|001||U|A Z|ESCOLA PUBLICA|PG RONDA, S/N
25239|SANT ESTEVE DE LA SARGA|01|001||U|A Z|CASA CONSISTORIAL|CASA CONSISTORIAL, S/N
25240|SANT GUIM DE FREIXENET|01|001||U|A Z|COL·LEGI PUBLIC L'ESTEL (MENJADOR)|PLAÇA DE LA SEGARRA, S/N
25241|SANT GUIM DE LA PLANA|01|001||U|A Z|BAIXOS DE L'AJUNTAMENT DE SANT GUIM|CTRA GUISSONA, 1
25242|SANT LLORENÇ DE MORUNYS|01|001||U|A Z|AJUNTAMENT DE SANT LLORENÇ DE MORUNYS|CARRER DE JOSEP CIRERA, 1
25243|SANT MARTI DE RIUCORB|01|001||U|A Z|OFICINES DE L'AJUNTAMENT|PLAÇA MAJOR, S/N -SANT MARTI DE MALDA-
25244|SANT RAMON|01|001||U|A Z|LOCAL POLIVALENT|AV DE LA FONT, 1
25245|SARROCA DE BELLERA|01|001||U|A Z|AJUNTAMENT DE SARROCA|CARRER UNIC, S/N
25246|SARROCA DE LLEIDA|01|001||U|A Z|CASA CONSISTORIAL - SALA D'ACTES|CARRER MONSENYOR VILAPLANA, 30
25247|SENTERADA|01|001||U|A Z|AJUNTAMENT|PLAÇA L'AJUNTAMENT, S/N
25248|SENTIU DE SIÓ (LA)|01|001||U|A Z|AULA DEL COL·LEGI PUBLIC|CARRER LES ESCOLES, 4
25249|SEROS|01|001||U|A Z|I.E.SDE SEROS|PLAÇA DE LES ESCOLES, 1
25249|SEROS|01|002||U|A Z|I.E.SDE SEROS|PLAÇA DE LES ESCOLES, 1
25250|SEU D'URGELL (LA)|01|001||U|A Z|CENTRE CIVIC EL PASSEIG|CARRER LLUIS DE SABATER, 4
25251|SEU D'URGELL (LA)|01|002||A|A L|SALA CULTURAL SANT DOMENEC|CARRER SANT DOMENEC, 2
25251|SEU D'URGELL (LA)|01|002||B|M Z|SALA CULTURAL SANT DOMENEC|CARRER SANT DOMENEC, 2
25251|SEU D'URGELL (LA)|01|003||A|A K|SALA CULTURAL SANT DOMENEC|CARRER SANT DOMENEC, 2
25251|SEU D'URGELL (LA)|01|003||B|L Z|SALA CULTURAL SANT DOMENEC|CARRER SANT DOMENEC, 2
25252|SEU D'URGELL (LA)|01|004||A|A L|BAIXOS CENTRE CULTURAL LES MONGES|PLAÇA MONGES, 2
25252|SEU D'URGELL (LA)|01|004||B|M Z|BAIXOS CENTRE CULTURAL LES MONGES|PLAÇA MONGES, 2
25253|SEU D'URGELL (LA)|01|005||A|A K|COL·LEGI LA SALLE|CARRER SANT JOAN BAPTISTA DE LA SALLE, 51
25253|SEU D'URGELL (LA)|01|005||B|L Z|COL·LEGI LA SALLE|CARRER SANT JOAN BAPTISTA DE LA SALLE, 51
25254|SEU D'URGELL (LA)|01|006|01|A|A Z|CENTRE CIVIC DE L'ESCORXADOR|CAMI PALANCA, 33
25255|SEU D'URGELL (LA)|01|006|02|B|A Z|LOCAL SOCIAL DE CASTELLCIUTAT|PLCET AJUNTAMENT, 4 -CASTELLCIUTAT-
25256|SEU D'URGELL (LA)|01|007||A|A K|ARXIU COMARCAL|CARRER SANT ERMENGOL, 71
25256|SEU D'URGELL (LA)|01|007||B|L Z|ARXIU COMARCAL|CARRER SANT ERMENGOL, 71
25257|SIDAMON|01|001||U|A Z|L'ESCOLA PUBLICA|CARRER CARRETERA, 21
25258|SOLERAS (EL)|01|001||U|A Z|EDIFICI AJUNTAMENT|CTRA BELLPUIG, 23
25259|SOLSONA|01|001||A|A L|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|01|001||B|M Z|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|01|002||A|A K|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|01|002||B|L Z|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|01|003||U|A Z|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|02|001||A|A K|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|02|001||B|L Z|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|02|002||A|A L|SALA POLIVALENT|CARRER GAUDI, 2
25259|SOLSONA|02|002||B|M Z|SALA POLIVALENT|CARRER GAUDI, 2
25260|SORIGUERA|01|001||U|A Z|CASA CONSISTORIAL - BAIXOS|PLAÇA MARE DE DEU DE MEDINA, S/N -VILAMUR-
25261|SORT|01|001||A|A K|LOCAL DEL CASAL DE GENT GRAN|CARRER DRCARLES POL I ALEU, 8
25261|SORT|01|001||B|L Z|LOCAL DEL CASAL DE GENT GRAN|CARRER DRCARLES POL I ALEU, 8
25262|SOSES|01|001||U|A Z|CENTRE CIVIC|PLAÇA AJUNTAMENT, 4
25263|SUDANELL|01|001||U|A Z|SALA D'ACTES DE L'AJUNTAMENT|PLAÇA AJUNTAMENT, 4
25264|SUNYER|01|001||U|A Z|CASA DE LA VILA|AV DE LES GARRIGUES, S/N
25265|TALARN|01|001||U|A Z|AJUNTAMENT - BAIXOS|CARRER PAU COLL, 3
25266|TALAVERA|01|001||U|A Z|CONSULTORIO MEDICO|CARRER COSTA, S/N
25267|TARREGA|01|001||A|A K|AJUNTAMENT|PL MAJOR, 1
25267|TARREGA|01|001||B|L Z|AJUNTAMENT|PL MAJOR, 1
25268|TARREGA|01|002||U|A Z|MUSEU COMARCAL DE L'URGELL|C/ MAJOR, 11
25269|TARREGA|02|001||A|A K|INSTITUT BATXMANUEL DE PEDROLO|AV TARRAGONA, 2
25269|TARREGA|02|001||B|L Z|INSTITUT BATXMANUEL DE PEDROLO|AV TARRAGONA, 2
25270|TARREGA|02|002||A|A K|COL·LEGI PUBLIC JACINT VERDAGUER|C/ RAMON I CAJAL, 10
25270|TARREGA|02|002||B|L Z|COL·LEGI PUBLIC JACINT VERDAGUER|C/ RAMON I CAJAL, 10
25271|TARREGA|02|003||A|A K|COL·LEGI SANT JOSEP|C/ MARE VEDRUNA, S/N
25271|TARREGA|02|003||B|L Z|COL·LEGI SANT JOSEP|C/ MARE VEDRUNA, S/N
25272|TARREGA|03|001||A|A L|COL·LEGI PUBLIC ANGEL GUIMERA|C/ ARQUITECTE FLORENSA, 24
25272|TARREGA|03|001||B|M Z|COL·LEGI PUBLIC ANGEL GUIMERA|C/ ARQUITECTE FLORENSA, 24
25273|TARREGA|03|002||U|A Z|ESCOLA ANGLO-FRANCESA|C/ RAMON CARNICER, 1
